taxon_oid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID ,Genus,Species,Assembly Method,High Quality,Has Coverage,Strain,Culture Type,Cultured,Isolation,Genome Size   * assembled,Gene Count   * assembled,Scaffold Count   * assembled,GC Count   * assembled,GC   * assembled,Coding Base Count   * assembled,Coding Base Count %   * assembled,Coding Base Count NP ,Coding Base Count NP % ,Depth,Temperature,Salinity (ppt),Environment,Link,Genome,Species,latitude,longitude,clade,Species_Color,Env_Color,Completeness,Contamination,Circular,Completeness - 5xcontamination,Genome Type,,
2554235400,Bacteria,Finished,"Alteromonas macleodii strains, University Miguel Hernandez, Spain",Alteromonas macleodii 'Ionian Sea U8',University Miguel Hernandez,2554235400,Alteromonas,Alteromonas mediterranea,,Yes,No,'Ionian Sea U8',Isolate,Yes,,4395035,3873,1,1971607,44.86,3813711,86.77,3813711,86.77,3500,,200,Mediterranean,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC93321/,Alteromonas_macleodii__Ionian_Sea_U8_,Alteromonas mediterranea,35.23972,21.47472,20,#B700D0,forestgreen,99.89,,Y,99.89,Isolate,,
2554235401,Bacteria,Finished,"Alteromonas macleodii strains, University Miguel Hernandez, Spain",Alteromonas macleodii 'Ionian Sea UM4b',University Miguel Hernandez,2554235401,Alteromonas,Alteromonas mediterranea,,Yes,No,'Ionian Sea UM4b',Isolate,Yes,,4438767,3942,1,1992318,44.88,3850840,86.76,3850840,86.76,3455,,200,Mediterranean,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC93321/,Alteromonas_macleodii__Ionian_Sea_UM4b_,Alteromonas mediterranea,35.23972,21.47472,20,#B700D0,forestgreen,97.64,,Y,97.64,Isolate,,
2554235747,Bacteria,Finished,"Alteromonas macleodii strains, University Miguel Hernandez, Spain",Alteromonas macleodii ATCC 27126,University Miguel Hernandez,2554235747,Alteromonas,Alteromonas macleodii,,Yes,No,ATCC 27126,Isolate,Yes,Coastal marine water,4653851,3941,1,2080673,44.71,4052789,87.08,4052789,87.08,0.12,28,30,Marine Coastal,https://gold.jgi.doe.gov/organisms?id=Go0003851,Alteromonas_macleodii_ATCC_27126,Alteromonas macleodii,2.5167,101.8,4,#FFB9F6,darkblue,99.66,,Y,99.66,Isolate,,
2561511203,Bacteria,Finished,"Alteromonas macleodii strains, University Miguel Hernandez, Spain",Alteromonas macleodii 'Ionian Sea U4',University Miguel Hernandez,2561511203,Alteromonas,Alteromonas mediterranea,,Yes,No,'Ionian Sea U4',Isolate,Yes,,4624578,4160,2,2063804,44.63,4041539,87.4,4041539,87.4,3475,,200,Mediterranean,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC93321/,Alteromonas_macleodii__Ionian_Sea_U4_,Alteromonas mediterranea,35.23972,21.47472,20,#B700D0,forestgreen,97.7,,Y,97.7,Isolate,,
2561511204,Bacteria,Finished,"Alteromonas macleodii strains, University Miguel Hernandez, Spain",Alteromonas macleodii 'Ionian Sea UM7',University Miguel Hernandez,2561511204,Alteromonas,Alteromonas mediterranea,,Yes,No,'Ionian Sea UM7',Isolate,Yes,,4931660,4410,2,2202801,44.67,4305351,87.3,4305351,87.3,3475,,200,Mediterranean,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC93321/,Alteromonas_macleodii__Ionian_Sea_UM7_,Alteromonas mediterranea,35.23972,21.47472,20,#B700D0,forestgreen,100,,Y,100,Isolate,,
2561511205,Bacteria,Finished,"Alteromonas macleodii strains, University Miguel Hernandez, Spain",Alteromonas macleodii 'English Channel 615',University Miguel Hernandez,2561511205,Alteromonas,Alteromonas mediterranea,,Yes,No,'English Channel 615',Isolate,Yes,,4582352,3644,2,2058018,44.91,3270720,71.38,3270720,71.38,0,,,Marine,,Alteromonas_macleodii__English_Channel_615_,Alteromonas mediterranea,50.25,4.216667,20,#B700D0,blue,97.33,,Y,97.33,Isolate,,
2585427644,Bacteria,Finished,Alteromonas australica strain:H17 Genome sequencing,Alteromonas australica H17,University Miguel Hernandez,2585427644,Alteromonas,Alteromonas australica,Velvet v. 1.2.03; Geneious Pro v. 6.1.7,Yes,No,H17,Isolate,Yes,Tasman Sea water,4308833,3517,1,1935971,44.93,3603371,83.63,3586204,83.23,1,,,Marine Bay,https://link.springer.com/article/10.1186/1471-2164-15-483,Alteromonas_australica_H17,Alteromonas australica,37.86944,144.9742,10,#7FFFC0,darkcyan,99.59,,Y,99.59,Isolate,,
2639762924,Bacteria,Finished,Alteromonas australica strain:DE170 Genome sequencing,Alteromonas australica DE170,University Miguel Hernandez,2639762924,Alteromonas,Alteromonas australica,IDBA v. 1.1.1,Yes,No,DE170,Isolate,Yes,,4457472,4341,1,2000002,44.87,3974495,89.16,3974495,89.16,1000,,,Mediterranean,https://link.springer.com/article/10.1186/1471-2164-15-483,Alteromonas_australica_DE170,Alteromonas australica,41.61667,17.36667,10,#7FFFC0,forestgreen,100,,Y,100,Isolate,,
2651870151,Bacteria,Draft,"Water column microbial communities from Red Sea, Saudi Arabia",Alteromonas macleodii REDSEA-S09_B2,King Abdullah University of Science and Technology,2651870151,Alteromonas,Alteromonas macleodii,IDBA_UD,No,No,REDSEA-S09_B2,,No,,4499197,4019,102,2001420,44.49,3964784,88.14,3964784,88.14,500,,,Red Sea,https://www.nature.com/articles/ismej201699,Alteromonas_macleodii_REDSEA_S09_B2,Alteromonas macleodii,17.996,39.799,24,#FFB9F6,red2,99,,N,99,MAG,,
2651870152,Bacteria,Draft,"Water column microbial communities from Red Sea, Saudi Arabia",Alteromonas macleodii REDSEA-S10_B9,King Abdullah University of Science and Technology,2651870152,Alteromonas,Alteromonas macleodii,IDBA_UD,No,No,REDSEA-S10_B9,,No,,2573681,2962,490,1147586,44.64,2251423,87.57,2251423,87.57,10,,,Red Sea,https://www.nature.com/articles/ismej201699,Alteromonas_macleodii_REDSEA_S10_B9,Alteromonas macleodii,18.580,40.743,24,#FFB9F6,red2,59.71,,N,59.71,MAG,,
2651870153,Bacteria,Draft,"Water column microbial communities from Red Sea, Saudi Arabia",Alteromonas macleodii REDSEA-S12_B5,King Abdullah University of Science and Technology,2651870153,Alteromonas,Alteromonas macleodii,IDBA_UD,No,No,REDSEA-S12_B5,,No,,2683795,3073,514,1179479,43.98,2322233,86.58,2322233,86.58,50,,,Red Sea,https://www.nature.com/articles/ismej201699,Alteromonas_macleodii_REDSEA_S12_B5,Alteromonas macleodii,18.580,40.743,24,#FFB9F6,red2,59.42,,N,59.42,MAG,,
2651870154,Bacteria,Draft,"Water column microbial communities from Red Sea, Saudi Arabia",Alteromonas macleodii REDSEA-S14_B11,King Abdullah University of Science and Technology,2651870154,Alteromonas,Alteromonas macleodii,IDBA_UD,No,No,REDSEA-S14_B11,,No,,3195899,3426,544,1424727,44.59,2806894,87.85,2806894,87.85,200,,,Red Sea,https://www.nature.com/articles/ismej201699,Alteromonas_macleodii_REDSEA_S14_B11,Alteromonas macleodii,18.580,40.743,24,#FFB9F6,red2,73.75,,N,73.75,MAG,,
2651870155,Bacteria,Draft,"Water column microbial communities from Red Sea, Saudi Arabia",Alteromonas macleodii REDSEA-S15_B11,King Abdullah University of Science and Technology,2651870155,Alteromonas,Alteromonas macleodii,IDBA_UD,No,No,REDSEA-S15_B11,,No,,3934793,4044,457,1752752,44.57,3459063,87.95,3459063,87.95,258,,,Red Sea,https://www.nature.com/articles/ismej201699,Alteromonas_macleodii_REDSEA_S15_B11,Alteromonas macleodii,18.580,40.743,24,#FFB9F6,red2,89.9,,N,89.9,MAG,,
2684623042,Bacteria,Finished,Alteromonas stellipolaris LMG 21856 Genome sequencing and assembly,Alteromonas stellipolaris LMG21856,Zhejiang Wanli University,2684623042,Alteromonas,Alteromonas stellipolaris,SOAPdenovo v. 1.05,Yes,No,LMG 21856,Isolate,Yes,seawater,4686200,4027,1,2044672,43.63,4170919,89,4170919,89,25,20,,Marine Polar,https://gold.jgi.doe.gov/organisms?id=Go0021024,Alteromonas_stellipolaris_LMG21856,Alteromonas stellipolaris,-66.365,33.778,19,#8BFDFF,aquamarine,99.84,,Y,99.84,Isolate,,
2684623167,Bacteria,Finished,Alteromonas stellipolaris PQQ-42 genome sequencing,Alteromonas stellipolaris PQQ-42,University of Granada,2684623167,Alteromonas,Alteromonas stellipolaris,HGAP v. 3.0,Yes,No,PQQ-42,Isolate,Yes,Seawater,4755740,4134,1,2072655,43.58,4225739,88.86,4225739,88.86,,,,Mediterranean Coastal,https://gold.jgi.doe.gov/organisms?id=Go0144510,Alteromonas_stellipolaris_PQQ_42,Alteromonas stellipolaris,36.745456,-3.601125,19,#8BFDFF,yellowgreen,99.84,,Y,99.84,Isolate,,
2684623206,Bacteria,Finished,Genome sequencing of Alteromonas species,Alteromonas macleodii D7,University Miguel Hernandez,2684623206,Alteromonas,Alteromonas macleodii,IDBA-ud v. 1.1.1,Yes,No,D7,Isolate,Yes,,4575623,4125,1,2033529,44.44,3999529,87.41,3999529,87.41,0,,,Marine Coastal,https://www.jstage.jst.go.jp/article/jgam/58/2/58_129/_pdf/-char/ja,Alteromonas_macleodii_D7,Alteromonas macleodii,11.2879,95.73,1,#FFB9F6,darkblue,100,,Y,100,Isolate,,
2687453219,Bacteria,Finished,Alteromonas stellipolaris PQQ-44 genome sequencing,Alteromonas stellipolaris PQQ-44,University of Granada,2687453219,Alteromonas,Alteromonas stellipolaris,HGAP v. 3.0,Yes,No,PQQ-44,Isolate,Yes,Seawater,4721861,4136,1,2058296,43.59,4202151,88.99,4202151,88.99,,,,Aquaculture,https://www.nature.com/articles/s41598-018-37720-2#Sec12,Alteromonas_stellipolaris_PQQ_44,Alteromonas stellipolaris,36.745456,-3.601125,19,#8BFDFF,darkgray,99.84,,Y,99.84,Isolate,,
2687453355,Bacteria,Finished,Genome sequencing of Alteromonas species,Alteromonas sp. Mac1,University Miguel Hernandez,2687453355,Alteromonas,Alteromonas sp. Mac1,IDBA-ud v. 1.1.1,Yes,No,Mac1,Isolate,Yes,seawater,4696291,4037,1,2046506,43.58,4179148,88.99,4179148,88.99,0,,,Mediterranean Coastal,"https://gold.jgi.doe.gov/organisms?id=Go0145115
https://academic.oup.com/gbe/article/8/5/1556/2939598#74368165",Alteromonas_sp_Mac1,Alteromonas sp.,38.3,-0.2,19,#A9A9A9,yellowgreen,99.84,,Y,99.84,Isolate,,
2687453434,Bacteria,Finished,Genome sequencing of Alteromonas species,Alteromonas sp. Mac2,University Miguel Hernandez,2687453434,Alteromonas,Alteromonas sp. Mac2,IDBA-ud v. 1.1.1,Yes,No,Mac2,Isolate,Yes,seawater,4666357,3973,1,2033731,43.58,4161419,89.18,4161419,89.18,0,,,Mediterranean Coastal,"https://gold.jgi.doe.gov/organisms?id=Go0145116
https://academic.oup.com/gbe/article/8/5/1556/2939598#74368165",Alteromonas_sp_Mac2,Alteromonas sp.,38.3,-0.2,19,#A9A9A9,yellowgreen,99.5,,Y,99.5,Isolate,,
2687453488,Bacteria,Finished,Alteromonas macleodii strain:HOT1A3 Genome sequencing and assembly,Alteromonas macleodii HOT1A3,University of Haifa,2687453488,Alteromonas,Alteromonas macleodii,SMRTpipe v. 1.87.139483,Yes,No,HOT1A3,Isolate,Yes,,4801807,4286,2,2145033,44.67,4229645,88.08,4229645,88.08,5,,,Marine,https://gold.jgi.doe.gov/organisms?id=Go0140409,Alteromonas_macleodii_HOT1A3,Alteromonas macleodii,22.45,-158,1,#FFB9F6,blue,100,,Y,100,Isolate,,
2687453500,Bacteria,Finished,Genome sequencing of Alteromonas species,Alteromonas stellipolaris LMG 21861,University Miguel Hernandez,2687453500,Alteromonas,Alteromonas stellipolaris,IDBA-ud v. 1.1.1,Yes,No,LMG 21861,Isolate,Yes,,4904192,4258,2,2134220,43.52,4358982,88.88,4358982,88.88,25,,,Marine Polar,https://academic.oup.com/gbe/article/8/5/1556/2939598#74368165,Alteromonas_stellipolaris_LMG_21861,Alteromonas stellipolaris,-66.33333,8.89,19,#8BFDFF,aquamarine,99.5,,Y,99.5,Isolate,,
2687453526,Bacteria,Finished,Genome sequencing of Alteromonas species,Alteromonas mediterranea U10,University Miguel Hernandez,2687453526,Alteromonas,Alteromonas mediterranea,IDBA-ud v. 1.1.1,Yes,No,U10,Isolate,Yes,seawater,4910574,4424,2,2192243,44.64,4330451,88.19,4330451,88.19,3500,,200,Mediterranean,https://academic.oup.com/gbe/article/8/5/1556/2939598#74368165,Alteromonas_mediterranea_U10,Alteromonas mediterranea,35.23,21.4715,20,#B700D0,forestgreen,100,,Y,100,Isolate,,
2687453642,Bacteria,Finished,Genome sequencing of Alteromonas species,Alteromonas mediterranea UM8,University Miguel Hernandez,2687453642,Alteromonas,Alteromonas mediterranea,IDBA-ud v. 1.1.1,Yes,No,UM8,Isolate,Yes,seawater,4885197,4400,2,2179457,44.61,4304136,88.11,4304136,88.11,3475,,200,Mediterranean,https://academic.oup.com/gbe/article/8/5/1556/2939598#74368165,Alteromonas_mediterranea_UM8,Alteromonas mediterranea,35.23,21.4715,20,#B700D0,forestgreen,100,,Y,100,Isolate,,
2687453643,Bacteria,Finished,Genome sequencing of Alteromonas species,Alteromonas stellipolaris R10SW13,University Miguel Hernandez,2687453643,Alteromonas,Alteromonas stellipolaris,IDBA-ud v. 1.1.1,Yes,No,R10SW13,Isolate,Yes,,4649146,4042,1,2027485,43.61,4129226,88.82,4129226,88.82,0,13.6,32,Marine Coastal,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.63521-0,Alteromonas_stellipolaris_R10SW13,Alteromonas stellipolaris,42.90472,132.3494,19,#8BFDFF,darkblue,99.84,,Y,99.84,Isolate,,
2698537011,Bacteria,Permanent Draft,Coral mucus isolate genomes,Alteromonas sp. BZK5,University of Florida,2698537011,Alteromonas,Alteromonas sp.,IDBA-UD,Yes,No,BZK5,Isolate,Yes,surface mucus layer,4903800,4523,287,2182059,44.5,4284639,87.37,4284639,87.37,,,,Host associated,https://gold.jgi.doe.gov/organisms?id=Go0302218,Alteromonas_sp_BZK5,Alteromonas sp.,16.797,-88.0844,1,#A9A9A9,black,100,,N,100,Isolate,,
2710724218,Bacteria,Permanent Draft,Phycosphere-associated microbial communities from algal ponds,Alteromonas sp. I10,DOE Joint Genome Institute (JGI),2710724218,Alteromonas,Alteromonas sp. I10,spades v. 3.9.0,Yes,No,I10,Isolate,Yes,,4673900,4104,30,2085653,44.63,4142706,88.65,4142706,88.65,,,,Host associated,https://gold.jgi.doe.gov/studies?id=Gs0126276,Alteromonas_sp_I10,Alteromonas sp.,27.800583,-97.396378,4,#A9A9A9,black,100,,N,100,Isolate,,
2718217925,Bacteria,Finished,Genome sequencing of Alteromonas strains,Alteromonas sp. Mex14,University Miguel Hernandez,2718217925,Alteromonas,Alteromonas sp. Mex14,IDBA v. 1.1.1,Yes,No,Mex14,Isolate,Yes,aquaculture pond,4489455,3890,1,1985763,44.23,3977900,88.61,3977900,88.61,0,,,Aquaculture,https://gold.jgi.doe.gov/organisms?id=Go0366027,Alteromonas_sp_Mex14,Alteromonas sp.,21.16667,-90.03333,25,#A9A9A9,darkgray,99.95,,Y,99.95,Isolate,,
2718218105,Bacteria,Finished,Genome sequencing of Alteromonas strains,Alteromonas mediterranea CP48,University Miguel Hernandez,2718218105,Alteromonas,Alteromonas mediterranea,IDBA v. 1.1.1,Yes,No,CP48,Isolate,Yes,seawater,4927947,4317,2,2202700,44.7,4345684,88.18,4345684,88.18,0,,,Mediterranean Coastal,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-016-3461-0#Sec9,Alteromonas_mediterranea_CP48,Alteromonas mediterranea,38.497375,-0.255483,21,#B700D0,yellowgreen,99.84,,Y,99.84,Isolate,,
2721755521,Bacteria,Finished,Genome sequencing of Alteromonas strains,Alteromonas sp. RW2A1,University Miguel Hernandez,2721755521,Alteromonas,Alteromonas sp. RW2A1,IDBA v. 1.1.1,Yes,No,RW2A1,Isolate,Yes,seawater,4143824,3709,1,1821874,43.97,3639534,87.83,3639534,87.83,0,,,Host associated,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-016-3461-0#Sec9,Alteromonas_sp_RW2A1,Alteromonas sp.,58.488,19.8633,23,#A9A9A9,black,99.95,,Y,99.95,Isolate,,
2721755611,Bacteria,Finished,Genome sequencing of Alteromonas strains,Alteromonas mediterranea AR43,University Miguel Hernandez,2721755611,Alteromonas,Alteromonas mediterranea,IDBA v. 1.1.1,Yes,No,AR43,Isolate,Yes,Marine water,4344439,3764,1,1953691,44.97,3850091,88.62,3850091,88.62,0,,,Mediterranean Coastal,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-016-3461-0#Sec9,Alteromonas_mediterranea_AR43,Alteromonas mediterranea,38.497375,-0.255483,21,#B700D0,yellowgreen,99.84,,Y,99.84,Isolate,,
2721755798,Bacteria,Finished,Genome sequencing of Alteromonas strains,Alteromonas mediterranea CP49,University Miguel Hernandez,2721755798,Alteromonas,Alteromonas mediterranea,IDBA v. 1.1.1,Yes,No,CP49,Isolate,Yes,seawater,4971381,4368,2,2221877,44.69,4385144,88.21,4385144,88.21,0,,,Mediterranean Coastal,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-016-3461-0#Sec9,Alteromonas_mediterranea_CP49,Alteromonas mediterranea,38.497375,-0.255483,21,#B700D0,yellowgreen,99.17,,Y,99.17,Isolate,,
2721755799,Bacteria,Finished,Genome sequencing of Alteromonas strains,Alteromonas mediterranea RG65,University Miguel Hernandez,2721755799,Alteromonas,Alteromonas mediterranea,IDBA v. 1.1.1,Yes,No,RG65,Isolate,Yes,seawater,4652214,4105,2,2071450,44.53,4092794,87.98,4092794,87.98,0,,,Mediterranean Coastal,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-016-3461-0#Sec9,Alteromonas_mediterranea_RG65,Alteromonas mediterranea,38.497375,-0.255483,21,#B700D0,yellowgreen,99.84,,Y,99.84,Isolate,,
2731958078,Bacteria,Permanent Draft,"Oil-contaminated marine microbial communities from the Macondo wellhead oil leak, Gulf of Mexico",Alteromonas sp. TK-46(2) DSM 26665,DOE Joint Genome Institute (JGI),2731958078,Alteromonas,Alteromonas sp. TK-46(2),spades v. 3.9.0,Yes,No,DSM 26665,Isolate,Yes,,4561795,3934,19,2013147,44.13,4038579,88.54,4028223,88.31,0,25,,Marine,https://bacdive.dsmz.de/strain/139825,Alteromonas_sp_TK_46_2__DSM_26665,Alteromonas sp.,25.681137,-89.890137,25,#A9A9A9,blue,99.95,,N,99.95,Isolate,,
2738541260,Bacteria,Finished,Phylogenomics and pangenome of Alteromonas macleodii,Alteromonas macleodii BGP6,Leibniz Institute,2738541260,Alteromonas,Alteromonas macleodii,RS_HGAP_Assembly.3 protocol; SMRT Portal version 2.3,Yes,No,BGP6,Isolate,Yes,Southern Pacific Ocean,4819231,4222,2,2148975,44.59,4246363,88.11,4246363,88.11,20,,,Marine,https://gold.jgi.doe.gov/organisms?id=Go0372724,Alteromonas_macleodii_BGP6,Alteromonas macleodii,-26.9926167,178.21325,2,#FFB9F6,blue,100,,N,100,Isolate,,
2738541261,Bacteria,Finished,Phylogenomics and pangenome of Alteromonas macleodii,Alteromonas macleodii BGP9,Leibniz Institute,2738541261,Alteromonas,Alteromonas macleodii,RS_HGAP_Assembly.3 protocol; SMRT Portal version 2.3,Yes,No,BGP9,Isolate,Yes,Equatorial Pacific Ocean,4807803,4210,2,2144820,44.61,4239432,88.18,4239432,88.18,20,,,Marine,https://gold.jgi.doe.gov/organisms?id=Go0372726,Alteromonas_macleodii_BGP9,Alteromonas macleodii,4.6551,179.3976833,2,#FFB9F6,blue,100,,N,100,Isolate,,
2738541262,Bacteria,Finished,Phylogenomics and pangenome of Alteromonas macleodii,Alteromonas macleodii BGP14,Leibniz Institute,2738541262,Alteromonas,Alteromonas macleodii,RS_HGAP_Assembly.3 protocol; SMRT Portal version 2.3,Yes,No,BGP14,Isolate,Yes,Northern Pacific Ocean,4817656,4221,2,2148311,44.59,4245421,88.12,4245421,88.12,20,,,Marine,https://img.jgi.doe.gov/cgi-bin/mer/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2738541262,Alteromonas_macleodii_BGP14,Alteromonas macleodii,45.0010167,178.7501833,2,#FFB9F6,blue,100,,N,100,Isolate,,
2738541267,Bacteria,Finished,Alteromonas macleodii strain:MIT1002 genome sequencing,Alteromonas macleodii MIT1002 Genome closure,Massachusetts Institute of Technology,2738541267,Alteromonas,Alteromonas macleodii,RS_HGAP_Assembly.3 protocol; SMRT Portal version 2.3,Yes,No,MIT1002,Isolate,Yes,,4736936,4226,2,2114292,44.63,4153547,87.68,4153547,87.68,10,,,Marine,mit1002 paper,Alteromonas_macleodii_MIT1002_Genome_closure,Alteromonas macleodii,38.98333,-49.73333,1,#FFB9F6,blue,100,,N,100,Isolate,,
2751185844,Bacteria,Permanent Draft,Alteromonas  species genome sequencing,Alteromonas sp. LTR,Bar-Ilan University,2751185844,Alteromonas,Alteromonas sp. LTR,Velvet v. OCT-2012,Yes,No,LTR,Isolate,Yes,Aplysia punctata,4400969,3864,37,1943939,44.18,3838135,87.22,3838135,87.22,,,,Host associated,https://journals.asm.org/doi/full/10.1128/genomeA.01081-14,Alteromonas_sp_LTR,Alteromonas sp.,,,23,#A9A9A9,black,99.85,,N,99.85,Isolate,,
